example_id,conversation_id,customer_message,conversation_context,true_intent,expected_action,escalation_reason,notes,timestamp,brand,reference_brand_response
gold_001,10001708,@AppleSupport shared family Apple ID is locked and my kids cannot download apps,,apple_id_icloud,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Wed Oct 04 07:48:00 +0000 2017,AppleSupport,"@USER Sign-in loops after a restore often mean the Apple ID is still in a security lock. Try another network, then iforgot.apple.com. If it still fails, this has to go to account recovery."
gold_002,10001544,@AppleSupport someone is trying to access my Apple ID. I got emails about it. what do I do,,apple_id_icloud,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Wed Oct 04 00:06:00 +0000 2017,AppleSupport,"@USER Please do not share passwords or security questions on Twitter. Reach us via DM with the Apple ID email only, and we will share the official recovery link."
gold_003,10001568,@AppleSupport keep getting Apple ID verification popups I cannot dismiss on iPhone 6s,,apple_id_icloud,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Wed Oct 04 01:16:00 +0000 2017,AppleSupport,"@USER Please do not share passwords or security questions on Twitter. Reach us via DM with the Apple ID email only, and we will share the official recovery link."
gold_004,10001706,@AppleSupport I never set up two-factor but now I'm blocked from my Apple ID,,apple_id_icloud,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Wed Oct 04 07:41:00 +0000 2017,AppleSupport,"@USER Please do not share passwords or security questions on Twitter. Reach us via DM with the Apple ID email only, and we will share the official recovery link."
gold_005,10001698,@AppleSupport Apple ID says locked for security reasons. I did not change anything,,apple_id_icloud,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Wed Oct 04 07:20:00 +0000 2017,AppleSupport,"@USER If you suspect someone else is accessing the Apple ID, change the password from a trusted device if you still can, and review appleid.apple.com > Devices. DM us if you are fully locked out."
gold_006,10001736,@AppleSupport I never set up two-factor but now I'm blocked from my Apple ID,,apple_id_icloud,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Wed Oct 04 09:05:00 +0000 2017,AppleSupport,"@USER If you suspect someone else is accessing the Apple ID, change the password from a trusted device if you still can, and review appleid.apple.com > Devices. DM us if you are fully locked out."
gold_007,10001246,@AppleSupport iCloud sign-in loop on iPhone 7 after restore. it just shakes and fails,,apple_id_icloud,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Tue Oct 03 10:13:00 +0000 2017,AppleSupport,"@USER Sign-in loops after a restore often mean the Apple ID is still in a security lock. Try another network, then iforgot.apple.com. If it still fails, this has to go to account recovery."
gold_008,10001398,@AppleSupport Apple ID says locked for security reasons. I did not change anything,,apple_id_icloud,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Tue Oct 03 17:20:00 +0000 2017,AppleSupport,"@USER If you suspect someone else is accessing the Apple ID, change the password from a trusted device if you still can, and review appleid.apple.com > Devices. DM us if you are fully locked out."
gold_009,10001260,@AppleSupport my Apple ID is locked and the reset email never arrives. This is so frustrating.,customer: @AppleSupport following up — no change | brand: @USER Thanks for the extra detail. We are still looking at this with you.,apple_id_icloud,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Tue Oct 03 11:35:00 +0000 2017,AppleSupport,"@USER If you suspect someone else is accessing the Apple ID, change the password from a trusted device if you still can, and review appleid.apple.com > Devices. DM us if you are fully locked out."
gold_010,10001230,@AppleSupport my Apple ID is locked and the reset email never arrives. pls fix,customer: @AppleSupport still happening after I restarted | brand: @USER Sorry it is not resolved yet. Let's try the next step.,apple_id_icloud,ESCALATE,Account or billing requests need an authenticated specialist; the agent cannot take those actions.,Primary intent from construction + labeling guide; single developer annotator. expected_action=ESCALATE (Account or billing requests need an authenticated specialist; the agent cannot take those actions.),Tue Oct 03 10:11:00 +0000 2017,AppleSupport,"@USER Please do not share passwords or security questions on Twitter. Reach us via DM with the Apple ID email only, and we will share the official recovery link."
